Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Maruti Suzuki,Ritz,70000.0,Manual,second,Diesel,14
Lexus,NX,28794.0,Automatic,first,hybrid,7
BMW,3 Series GT,68303.0,Automatic,second,Diesel,9
BMW,5 Series,55000.0,Automatic,first,Diesel,9
Volkswagen,VentoTest,56000.0,Automatic,second,Petrol,10
Hyundai,i20,98000.0,Manual,second,Petrol,10
Mercedes-Benz,S-Class,22000.0,Automatic,first,Diesel,3
Ford,Ecosport,58000.0,Manual,first,Diesel,11
Volkswagen,Polo,60500.0,Manual,second,Petrol,12
Maruti Suzuki,Eeco,760000.0,Manual,second,Hybrid/CNG,7
Kia,Seltos,34000.0,Automatic,second,Diesel,5
Mitsubishi,Pajero Sport,80000.0,Automatic,first,Diesel,11
Skoda,Octavia,75000.0,Automatic,second,Petrol,13
Renault,Fluence,85000.0,Automatic,first,hybrid,14
Hyundai,i20,120000.0,Manual,second,Diesel,14
Hyundai,Creta,58000.0,Automatic,second,hybrid,7
Mercedes-Benz,GLE,30000.0,Automatic,first,Diesel,7
Hyundai,Santro Xing,130000.0,Manual,second,Petrol,21
Maruti Suzuki,Baleno,54000.0,Manual,first,Diesel,8
Maruti Suzuki,Wagon-R,105000.0,Manual,first,Petrol,11
Chevrolet,Cruze,60000.0,Automatic,second,Diesel,12
Maruti Suzuki,Swift,84303.0,Automatic,second,Petrol,7
Honda,City,63000.0,Automatic,first,Hybrid/CNG,14
Hyundai,i10,56000.0,Manual,second,Petrol,12
Maruti Suzuki,Baleno,65000.0,Automatic,second,hybrid,8
Maruti Suzuki,Celerio,85000.0,Manual,second,Petrol,8
Mahindra,XUV500,85000.0,Manual,first,Diesel,6
Maruti Suzuki,Swift-Dzire,82000.0,Manual,first,Diesel,7
Chevrolet,Cruze,95000.0,Manual,first,Diesel,13
Volkswagen,VentoTest,61000.0,Manual,first,Petrol,13
Maruti Suzuki,Swift-Dzire,40000.0,Manual,first,Petrol,4
BMW,X5,45000.0,Automatic,second,Diesel,10
Chevrolet,Beat,25000.0,Manual,second,Petrol,16
Mahindra,Alturas G4,74520.0,Automatic,first,Diesel,7
Renault,KWID,31523.0,Manual,first,Petrol,9
Toyota,Innova Crysta,190000.0,Automatic,second,Diesel,10
Hyundai,Grand i10,37000.0,Manual,second,Petrol,10
Maruti Suzuki,Celerio,80000.0,Manual,first,Hybrid/CNG,9
Ford,Ecosport,51000.0,Automatic,first,Petrol,6
Tata,Nexon,25945.0,Automatic,first,Petrol,5
Maruti Suzuki,Swift,65000.0,Automatic,second,Petrol,8
Maruti Suzuki,Ertiga,75000.0,Manual,first,hybrid,7
Tata,Tigor,48000.0,Manual,first,Hybrid/CNG,9
Hyundai,Creta,75000.0,Automatic,second,hybrid,9
Chevrolet,Beat,70000.0,Manual,second,Petrol,9
Maruti Suzuki,Swift-Dzire-Tour,250000.0,Automatic,first,hybrid,7
Maruti Suzuki,Wagon-R,96000.0,Automatic,first,Hybrid/CNG,9
Hyundai,Verna,140000.0,Manual,second,Diesel,18
Toyota,Fortuner,31500.0,Automatic,first,Diesel,5
Mercedes-Benz,E-Class,40000.0,Automatic,first,Petrol,15
Ford,Figo,65000.0,Manual,second,Diesel,10
Toyota,Innova Crysta,65000.0,Automatic,first,Diesel,7
Maruti Suzuki,Wagon-R,96000.0,Manual,second,Hybrid/CNG,16
Ford,Endeavour,88000.0,Automatic,first,Diesel,10
Volkswagen,Polo,55000.0,Manual,second,Petrol,7
