Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Audi,A3,42000.0,Automatic,second,Diesel,11
Maruti Suzuki,Vitara-Brezza,51000.0,Automatic,second,Petrol,8
Hyundai,i20,70000.0,Manual,second,Petrol,9
Honda,Civic,150000.0,Manual,second,Petrol,16
Hyundai,EON,80000.0,Manual,second,Petrol,9
Maruti Suzuki,Alto,90000.0,Automatic,second,hybrid,15
Mahindra,Bolero,56800.0,Manual,first,Diesel,4
Maruti Suzuki,Zen-Estilo,75000.0,Manual,second,Hybrid/CNG,14
Maruti Suzuki,Baleno,251174.0,Automatic,first,Diesel,7
Mercedes-Benz,GLC Class,19000.0,Automatic,first,Diesel,5
Mercedes-Benz,C-Class,9426.0,Automatic,first,Diesel,4
Toyota,Corolla Altis,112000.0,Automatic,second,hybrid,17
Maruti Suzuki,maruti-suzuki-dzire,59445.0,Automatic,first,Petrol,8
Hyundai,Elite i20,49882.0,Manual,first,Petrol,8
Maruti Suzuki,Baleno,65000.0,Manual,first,Petrol,7
Mahindra,Marazzo,95000.0,Manual,second,Diesel,8
Volkswagen,Polo,46000.0,Manual,first,Petrol,11
Hyundai,Grand i10,62000.0,Manual,second,Hybrid/CNG,9
Maruti Suzuki,Alto-800,36499.0,Manual,first,Petrol,5
Honda,Civic,84521.0,Automatic,second,hybrid,19
Mahindra,Scorpio,16900.0,Manual,first,Diesel,3
Renault,Duster,80000.0,Manual,second,Diesel,13
Toyota,Corolla Altis,99722.0,Manual,second,Petrol,14
Maruti Suzuki,Swift,50000.0,Automatic,second,hybrid,15
Toyota,Fortuner,110000.0,Automatic,first,Diesel,9
Hyundai,Creta,80000.0,Manual,first,Diesel,10
Audi,A4,75000.0,Automatic,second,Diesel,13
Maruti Suzuki,Swift,91000.0,Manual,second,Hybrid/CNG,7
Maruti Suzuki,Wagon-R,76000.0,Manual,second,Petrol,17
Toyota,Fortuner,3500.0,Automatic,first,Diesel,2
Maruti Suzuki,Ciaz,55000.0,Manual,first,Petrol,9
Maruti Suzuki,Sx4,71568.0,Automatic,second,Petrol,16
Tata,Indica,24000.0,Manual,first,Petrol,18
Maruti Suzuki,Stingray,51000.0,Manual,second,hybrid,10
Honda,City,126000.0,Manual,second,Diesel,11
Honda,Jazz,68000.0,Manual,second,Petrol,13
Maruti Suzuki,Ertiga,120000.0,Manual,first,Diesel,14
Mahindra,Scorpio,108000.0,Manual,first,Diesel,13
Hyundai,i10,70000.0,Manual,first,Petrol,13
Volkswagen,Ameo,55000.0,Automatic,second,Diesel,7
Maruti Suzuki,Swift-Dzire,77000.0,Manual,second,hybrid,15
Hyundai,Xcent,180000.0,Manual,second,hybrid,8
Hyundai,i20,53000.0,Manual,first,Diesel,5
Hyundai,EON,32000.0,Manual,first,Petrol,13
Maruti Suzuki,S-Presso,54000.0,Manual,first,Petrol,6
Tata,Nano,50000.0,Manual,second,Petrol,14
Renault,Triber,105000.0,Manual,first,hybrid,6
Renault,Duster,105000.0,Manual,first,Diesel,9
Hyundai,Verna,5000.0,Automatic,second,Petrol,3
Maruti Suzuki,Ritz,41258.0,Manual,second,Petrol,16
Maruti Suzuki,S-Presso,92000.0,Automatic,first,hybrid,6
Maruti Suzuki,Alto-800,54000.0,Manual,second,hybrid,12
BMW,X5,60000.0,Automatic,first,Diesel,6
Kia,Carnival,50000.0,Automatic,first,Diesel,6
Maruti Suzuki,Ertiga,68000.0,Manual,first,Diesel,9
Hyundai,Santro Xing,99999.0,Manual,second,Petrol,16
Toyota,Corolla Altis,52000.0,Manual,second,Petrol,15
Mahindra,Xylo,16400.0,Automatic,second,Diesel,14
Honda,Brio,50000.0,Manual,second,Petrol,11
BMW,X3,156000.0,Automatic,first,Diesel,9
Maruti Suzuki,Ertiga,199600.0,Manual,second,Diesel,10
Maruti Suzuki,S-Cross,82000.0,Manual,first,Diesel,9
Hyundai,Creta,58000.0,Manual,second,Petrol,5
Maruti Suzuki,Ertiga,50000.0,Manual,first,Hybrid/CNG,4
Tata,Harrier,14000.0,Automatic,first,Diesel,4
Maruti Suzuki,Alto-800,56000.0,Manual,second,hybrid,9
Maruti Suzuki,Ignis,90000.0,Automatic,first,Diesel,8
Toyota,Corolla Altis,77000.0,Automatic,second,hybrid,13
Volkswagen,Virtus,25000.0,Manual,first,Petrol,3
Honda,City ZX,105000.0,Manual,second,Petrol,21
Maruti Suzuki,XL6,40000.0,Automatic,second,Petrol,4
Skoda,Rapid,77873.0,Manual,first,Petrol,7
Hyundai,i20,70000.0,Manual,second,Petrol,16
Maruti Suzuki,Eeco,65000.0,Manual,second,hybrid,7
Toyota,Innova Hycross,20000.0,Automatic,first,Hybrid/CNG,2
Maruti Suzuki,Baleno,49136.0,Manual,second,Petrol,9
Honda,Civic,85000.0,Automatic,second,Hybrid/CNG,16
Bajaj,RE60,70000.0,Manual,first,hybrid,5
Honda,City,40000.0,Manual,second,Hybrid/CNG,11
Maruti Suzuki,Swift-Dzire,45000.0,Automatic,second,hybrid,14
Hyundai,i10,80000.0,Automatic,first,hybrid,15
Honda,City,80000.0,Automatic,second,Petrol,11
Honda,City,56000.0,Automatic,second,Petrol,8
Volkswagen,VentoTest,74000.0,Automatic,first,Diesel,11
Maruti Suzuki,Wagon-R,78000.0,Manual,second,Petrol,15
Ford,Figo,88000.0,Manual,second,Diesel,15
Maruti Suzuki,Ertiga,80000.0,Manual,second,Hybrid/CNG,10
Tata,Tiago,73555.0,Manual,second,Petrol,9
Maruti Suzuki,Eeco,60000.0,Automatic,first,Hybrid/CNG,5
Hyundai,Grand i10,55000.0,Manual,second,Petrol,12
Honda,City,86000.0,Automatic,second,Hybrid/CNG,12
Mercedes-Benz,B Class,41000.0,Automatic,second,Petrol,12
Toyota,Urban Cruiser Hyryder,3600.0,Automatic,first,Hybrid/CNG,2
Maruti Suzuki,Celerio,78000.0,Automatic,first,hybrid,8
Maruti Suzuki,Ertiga,80000.0,Automatic,second,Hybrid/CNG,4
Honda,City,90000.0,Automatic,second,hybrid,17
Volkswagen,Polo,64400.0,Automatic,first,Petrol,8
Renault,KWID,52000.0,Automatic,first,hybrid,6
Maruti Suzuki,Wagon-R-1-0,76000.0,Manual,second,Hybrid/CNG,5
Mahindra,XUV 300,14555.0,Automatic,first,Diesel,4
Honda,City,43000.0,Automatic,first,Petrol,5
Ford,Endeavour,91000.0,Manual,second,Diesel,10
Audi,Q3,65000.0,Automatic,second,Diesel,9
Volkswagen,VentoTest,67000.0,Automatic,second,Petrol,14
Hyundai,Verna,70000.0,Manual,first,Hybrid/CNG,7
Maruti Suzuki,Alto-800,87000.0,Manual,second,Hybrid/CNG,16
Hyundai,Xcent Prime,20.0,Manual,first,Hybrid/CNG,10
Hyundai,Grand i10,71000.0,Manual,first,Petrol,12
Hyundai,i20,79000.0,Manual,first,Diesel,14
Maruti Suzuki,Baleno,66500.0,Manual,first,Petrol,9
Honda,Amaze,60000.0,Manual,first,Hybrid/CNG,7
Volkswagen,Polo,150000.0,Automatic,second,Petrol,9
Audi,Q3,55100.0,Automatic,second,Diesel,8
Toyota,Innova,150000.0,Manual,first,Diesel,11
Kia,Sonet,38271.0,Automatic,second,Petrol,6
Toyota,Innova Crysta,112000.0,Automatic,first,Diesel,9
Maruti Suzuki,Eeco,95000.0,Automatic,first,Hybrid/CNG,7
Skoda,Slavia,30000.0,Automatic,first,Petrol,4
Maruti Suzuki,Ertiga,38000.0,Manual,first,Hybrid/CNG,4
Hyundai,Grand i10 Nios,88000.0,Manual,first,Hybrid/CNG,5
Hyundai,Creta,72000.0,Manual,first,Petrol,9
Volkswagen,Vento,80000.0,Automatic,first,Diesel,11
Honda,City,53000.0,Automatic,first,Petrol,6
Mahindra,Jeep,9000.0,Manual,second,Diesel,36
Maruti Suzuki,Swift,86000.0,Manual,second,Diesel,11
Maruti Suzuki,Celerio,52000.0,Automatic,second,hybrid,10
Mercedes-Benz,CLA,48000.0,Automatic,second,Diesel,7
Maruti Suzuki,Swift,42175.0,Automatic,first,Petrol,8
Maruti Suzuki,Wagon-R,16491.0,Automatic,first,Petrol,10
Mercedes-Benz,CLA,63000.0,Automatic,second,Diesel,8
Honda,City,60000.0,Automatic,second,hybrid,14
Maruti Suzuki,Swift-Dzire,115000.0,Manual,second,Diesel,11
Maruti Suzuki,Baleno,32000.0,Manual,first,Petrol,6
Maruti Suzuki,Eeco,95.0,Manual,second,hybrid,16
Renault,Duster,94000.0,Manual,second,Diesel,11
Volkswagen,VentoTest,87615.0,Manual,second,Diesel,13
Toyota,Innova Crysta,70000.0,Manual,first,Diesel,7
Maruti Suzuki,Celerio,71000.0,Manual,second,Hybrid/CNG,7
Jaguar,XE,75000.0,Automatic,first,Diesel,8
Toyota,Innova Crysta,6110.0,Manual,first,Diesel,2
Maruti Suzuki,Swift,66000.0,Automatic,first,Hybrid/CNG,8
Renault,KWID,48000.0,Automatic,second,Hybrid/CNG,8
Hyundai,Creta,21000.0,Manual,first,Petrol,7
Hyundai,Grand i10,35933.0,Automatic,first,Petrol,8
Maruti Suzuki,XL6,42000.0,Automatic,first,Petrol,5
Maruti Suzuki,Wagon-R,51000.0,Manual,second,hybrid,10
Toyota,Innova Hycross,2000.0,Automatic,first,hybrid,2
Maruti Suzuki,Wagon-R,57099.0,Automatic,first,Hybrid/CNG,9
Maruti Suzuki,Wagon-R,66000.0,Manual,first,Hybrid/CNG,8
Hyundai,Verna,37000.0,Manual,second,Petrol,7
MG,Hector,496000.0,Automatic,first,Petrol,7
Volkswagen,VentoTest,72000.0,Automatic,second,Petrol,12
Maruti Suzuki,Ertiga,51000.0,Manual,first,hybrid,5
Tata,Tiago,80000.0,Manual,second,Petrol,9
Maruti Suzuki,Ertiga,57200.0,Manual,first,Hybrid/CNG,8
Audi,Q3,94000.0,Automatic,second,Diesel,12
Skoda,Rapid,100000.0,Automatic,second,Diesel,9
Jeep,Compass,39000.0,Automatic,first,Petrol,8
Hyundai,Accent,56000.0,Manual,first,hybrid,16
Maruti Suzuki,Alto-800,22595.0,Manual,first,Petrol,8
Maruti Suzuki,Celerio,42000.0,Automatic,second,Hybrid/CNG,8
Maruti Suzuki,A-Star,150000.0,Automatic,second,Petrol,15
Maruti Suzuki,Swift-Dzire-Tour,70000.0,Manual,second,hybrid,8
Toyota,Innova Crysta,151000.0,Automatic,first,Diesel,8
Maruti Suzuki,Alto,167400.0,Automatic,second,hybrid,21
Maruti Suzuki,Swift-Dzire,59200.0,Manual,second,Petrol,11
Hyundai,Creta,56000.0,Automatic,second,Petrol,10
Maruti Suzuki,Wagon-R,100250.0,Manual,second,Hybrid/CNG,13
Tata,Nexon,52000.0,Automatic,first,Hybrid/CNG,7
Maruti Suzuki,Ciaz,82000.0,Automatic,first,Petrol,10
Maruti Suzuki,Omni,129698.0,Manual,second,Hybrid/CNG,14
Hyundai,Santro Xing,50000.0,Manual,second,hybrid,17
Jaguar,XJ,25000.0,Automatic,first,Diesel,11
Toyota,Etios,35000.0,Manual,second,Petrol,10
Volkswagen,Polo GTI,61000.0,Automatic,first,Petrol,13
Hyundai,Elite i20,90000.0,Manual,first,Petrol,10
Volvo,XC40,226350.0,Automatic,first,Diesel,8
Hyundai,Grand i10,63000.0,Automatic,second,Petrol,11
Datsun,GO,54000.0,Manual,second,Hybrid/CNG,6
Maruti Suzuki,Zen-Estilo,55000.0,Manual,second,Petrol,23
Maruti Suzuki,Ertiga,125000.0,Automatic,second,Hybrid/CNG,11
Maruti Suzuki,Celerio,83493.0,Automatic,first,Petrol,12
Mahindra,Bolero,92000.0,Manual,second,Diesel,11
Renault,KWID,52000.0,Automatic,first,hybrid,6
Mahindra,Thar,48700.0,Manual,first,Petrol,5
Hyundai,Elantra,91000.0,Automatic,second,Diesel,12
Honda,CRV,103000.0,Automatic,second,Hybrid/CNG,11
Renault,KWID,45000.0,Automatic,first,Petrol,8
Honda,Jazz,139000.0,Manual,second,Diesel,9
Hyundai,Grand i10,45000.0,Manual,second,Petrol,10
Toyota,Camry,115000.0,Automatic,second,Hybrid/CNG,11
Maruti Suzuki,Ertiga,6000.0,Automatic,first,hybrid,3
Hyundai,Grand i10,67750.0,Automatic,second,hybrid,10
Maruti Suzuki,Alto-800,18000.0,Manual,first,Petrol,3
Hyundai,i20,56000.0,Manual,first,Petrol,12
Hyundai,Eon,80000.0,Manual,first,Hybrid/CNG,11
Kia,Seltos,56800.0,Manual,first,Petrol,5
Toyota,Etios Liva,100080.0,Manual,second,Diesel,12
Maruti Suzuki,Ignis,29000.0,Automatic,first,Petrol,9
Toyota,Innova,140000.0,Manual,second,Diesel,16
Toyota,Fortuner,45000.0,Automatic,first,Diesel,6
Maruti Suzuki,Ertiga,70000.0,Manual,second,Petrol,8
Honda,City,81000.0,Automatic,second,Petrol,9
Hyundai,i20,87000.0,Manual,second,Petrol,16
Ford,Ecosport,83000.0,Manual,second,Diesel,12
Toyota,Glanza,21000.0,Automatic,first,Petrol,5
Maruti Suzuki,Ignis,81890.0,Manual,first,Petrol,9
Maruti Suzuki,Omni,55000.0,Manual,second,Petrol,15
Volkswagen,VentoTest,73000.0,Automatic,second,Petrol,14
Maruti Suzuki,Alto-K10,81258.0,Manual,second,hybrid,8
Honda,Jazz,70000.0,Automatic,second,hybrid,10
Tata,Nexon,140.0,Automatic,first,Petrol,2
Hyundai,Creta,151000.0,Manual,second,Diesel,10
Mahindra,Thar,20000.0,Automatic,second,Diesel,4
Maruti Suzuki,Celerio,58000.0,Automatic,first,Petrol,9
BMW,5 Series,72000.0,Automatic,second,Diesel,12
Nissan,Terrano,50000.0,Manual,first,Diesel,12
Chevrolet,Cruze,72400.0,Automatic,first,Diesel,12
BMW,3 Series,89000.0,Automatic,second,Diesel,13
Hyundai,Grand i10,57000.0,Manual,second,Petrol,12
Audi,Q3,47000.0,Automatic,second,Diesel,10
Maruti Suzuki,Alto-800,140000.0,Automatic,first,Hybrid/CNG,4
Toyota,Etios,51234.0,Manual,first,Diesel,7
Maruti Suzuki,Alto-800,45000.0,Manual,second,Petrol,11
Maruti Suzuki,Estilo,54000.0,Manual,first,Hybrid/CNG,18
Honda,Jazz,62000.0,Automatic,second,Petrol,10
Maruti Suzuki,Swift-Dzire,1000.0,Automatic,first,Hybrid/CNG,11
Jeep,Compass,21000.0,Automatic,first,Diesel,4
Volkswagen,Polo,50000.0,Manual,first,Petrol,8
Maruti Suzuki,Wagon-R,42000.0,Manual,second,hybrid,8
Renault,Triber,29000.0,Manual,first,hybrid,2
Mahindra,Thar,22000.0,Automatic,first,Diesel,4
Maruti Suzuki,Swift-Dzire,24000.0,Manual,first,hybrid,5
Maruti Suzuki,Wagon-R,7000.0,Manual,first,hybrid,8
Maruti Suzuki,Wagon-R,118000.0,Manual,second,Petrol,19
Maruti Suzuki,Ertiga,98580.0,Manual,first,Diesel,14
Toyota,Fortuner,90000.0,Automatic,second,Diesel,12
Honda,City,112000.0,Manual,first,Petrol,10
Maruti Suzuki,Wagon-R,78000.0,Manual,second,Hybrid/CNG,13
Maruti Suzuki,XL6,61000.0,Automatic,first,Petrol,6
Mercedes-Benz,C-Class,75000.0,Automatic,second,Diesel,14
Maruti Suzuki,Wagon-R,11000.0,Manual,first,Hybrid/CNG,4
Mahindra,Bolero Neo,35000.0,Automatic,second,Diesel,3
Mahindra,XUV500,87000.0,Manual,second,Diesel,10
MG,Gloster,119000.0,Automatic,first,Diesel,6
Toyota,Fortuner,150000.0,Automatic,second,Diesel,13
Maruti Suzuki,Wagon-R-1-0,70000.0,Manual,second,Petrol,16
Mercedes-Benz,CLS-Class,72000.0,Automatic,second,Diesel,9
Hyundai,Grand i10,80000.0,Manual,second,Petrol,12
Maruti Suzuki,Alto-K10,46000.0,Automatic,first,Petrol,8
Hyundai,Accent,70000.0,Automatic,second,hybrid,15
Land Rover,Defender,7100.0,Automatic,first,Petrol,3
Hyundai,Creta,66000.0,Manual,second,Petrol,9
Maruti Suzuki,S-Cross,69000.0,Manual,first,Diesel,8
Audi,Q3,57000.0,Automatic,second,Diesel,11
Hyundai,Grand i10,53000.0,Automatic,first,hybrid,11
Honda,City ZX,81011.0,Automatic,second,Petrol,20
Skoda,Octavia,116000.0,Automatic,first,Diesel,9
BMW,5 Series,60000.0,Automatic,first,Diesel,8
Honda,City,70000.0,Automatic,first,Petrol,11
Hyundai,i20,64000.0,Manual,second,Petrol,17
Maruti Suzuki,XL6,26716.0,Manual,first,Petrol,5
Datsun,RediGO,45125.0,Manual,first,Petrol,8
Renault,Duster,120000.0,Manual,second,Diesel,13
Maruti Suzuki,Baleno,18100.0,Manual,first,Petrol,6
Honda,City,91000.0,Manual,second,Diesel,12
Tata,Indigo Ecs,90000.0,Automatic,second,Diesel,13
Hyundai,Verna,39688.0,Automatic,second,Petrol,6
Hyundai,Venue,68216.0,Manual,second,Petrol,7
Maruti Suzuki,Ertiga,57125.0,Manual,first,Hybrid/CNG,8
Honda,City,65000.0,Manual,first,Petrol,8
Honda,City,76000.0,Automatic,second,Petrol,15
BMW,7 Series,51000.0,Automatic,second,Diesel,8
Maruti Suzuki,Ertiga,18000.0,Manual,first,hybrid,2
Honda,City,73000.0,Automatic,second,hybrid,11
Tata,Indigo Ecs,43500.0,Manual,second,Diesel,10
Hyundai,Verna,50400.0,Manual,second,Petrol,6
Maruti Suzuki,Eeco,88000.0,Manual,first,hybrid,7
Mahindra,XUV 300,69000.0,Manual,first,Diesel,4
Kia,Seltos,34000.0,Manual,first,Diesel,6
Hyundai,Creta,64000.0,Automatic,second,Petrol,10
Tata,Tiago,48000.0,Automatic,second,Petrol,7
Toyota,Innova Crysta,83000.0,Automatic,first,Petrol,6
Hyundai,Santro,136000.0,Manual,second,hybrid,17
Maruti Suzuki,Ignis,53402.0,Manual,second,Petrol,9
Mahindra,KUV100 NXT,43700.0,Manual,second,Petrol,8
Hyundai,EON,29000.0,Manual,second,Petrol,11
Maruti Suzuki,Alto,79000.0,Manual,second,Petrol,20
Hyundai,Elantra,65000.0,Automatic,first,Diesel,11
Hyundai,Elite i20,,Manual,first,Petrol,7
Maruti Suzuki,Wagon-R,57000.0,Automatic,first,hybrid,7
Renault,KWID,88000.0,Automatic,second,Petrol,10
Maruti Suzuki,Celerio,54000.0,Manual,first,hybrid,8
Chevrolet,Spark,50000.0,Manual,second,Hybrid/CNG,13
Maruti Suzuki,Wagon-R,87000.0,Automatic,second,hybrid,11
Ford,Ecosport,73000.0,Automatic,first,Petrol,8
Hyundai,i20,11000.0,Manual,first,Petrol,2
Maruti Suzuki,Eeco,40.0,Automatic,first,hybrid,5
BMW,X5,25000.0,Automatic,second,Diesel,7
Maruti Suzuki,Swift,34000.0,Automatic,first,Petrol,5
Maruti Suzuki,Alto-K10,73000.0,Automatic,first,Petrol,11
Kia,Seltos,109000.0,Manual,first,Diesel,6
Maruti Suzuki,Ignis,51000.0,Manual,first,Petrol,7
Audi,A4,72000.0,Automatic,first,Diesel,11
Audi,A6,63000.0,Automatic,second,Petrol,10
Hyundai,Santro Xing,130000.0,Manual,second,Petrol,23
Tata,Tiago,54000.0,Manual,first,Petrol,7
Maruti Suzuki,Ertiga,5656.0,Manual,first,Diesel,11
Nissan,Micra,63234.0,Automatic,second,Petrol,13
Hyundai,Verna,50000.0,Automatic,first,hybrid,12
Mercedes-Benz,GLA,50000.0,Automatic,second,Petrol,10
Kia,Sonet,20200.0,Automatic,first,Petrol,6
Hyundai,Creta,59980.0,Automatic,first,Petrol,7
Hyundai,Creta,29997.0,Manual,first,Petrol,5
Mahindra,XUV500,92000.0,Manual,second,Diesel,11
Hyundai,Verna,83000.0,Manual,second,Diesel,13
Hyundai,i10,75000.0,Manual,second,Hybrid/CNG,16
Honda,Jazz,52000.0,Automatic,first,Hybrid/CNG,9
Maruti Suzuki,Celerio,72000.0,Automatic,first,Petrol,12
Mahindra,Scorpio N,48529.0,Manual,second,Diesel,15
Mercedes-Benz,S-Class,39000.0,Automatic,second,Diesel,8
Mercedes-Benz,CLA,73000.0,Automatic,first,Diesel,11
Hyundai,Elite i20,91000.0,Manual,second,Diesel,12
Maruti Suzuki,Ciaz,53600.0,Manual,second,Diesel,9
Volkswagen,Polo,80000.0,Automatic,second,Petrol,10
Hyundai,Eon,52000.0,Manual,second,Petrol,12
Maruti Suzuki,Alto-800,110000.0,Automatic,first,Hybrid/CNG,12
Hyundai,Grand i10 Nios,61000.0,Manual,first,Hybrid/CNG,6
Honda,City,90000.0,Manual,first,Diesel,11
Honda,Brio,76000.0,Manual,second,Petrol,12
Mahindra,KUV 100,90000.0,Automatic,second,Hybrid/CNG,9
Hyundai,Creta,78000.0,Manual,second,hybrid,10
Toyota,Fortuner,124653.0,Manual,second,Diesel,12
Hyundai,Verna,30000.0,Manual,first,Petrol,4
Maruti Suzuki,Swift-Dzire,98000.0,Manual,second,Diesel,17
Toyota,Fortuner,95000.0,Manual,first,Diesel,11
Maruti Suzuki,Celerio,200000.0,Manual,first,hybrid,6
Honda,Amaze,50000.0,Automatic,first,Hybrid/CNG,8
Skoda,Rapid,96000.0,Manual,first,Diesel,14
Audi,A6,78000.0,Automatic,second,Diesel,11
Honda,City,69000.0,Manual,first,Petrol,7
Toyota,Innova Crysta,133000.0,Automatic,first,Diesel,8
Maruti Suzuki,Swift-Dzire,81000.0,Manual,second,Hybrid/CNG,11
Maruti Suzuki,Baleno,52551.0,Manual,second,hybrid,9
Maruti Suzuki,Wagon-R,71000.0,Manual,second,Petrol,10
Renault,Triber,48000.0,Manual,first,hybrid,7
Maruti Suzuki,Omni,,Automatic,second,hybrid,20
Toyota,Etios Cross,107000.0,Manual,second,Diesel,12
Tata,Tiago,82000.0,Manual,first,Petrol,10
Mahindra,Thar,46000.0,Automatic,first,Diesel,5
Fiat,Grande Punto,85000.0,Manual,second,Diesel,15
Honda,Amaze,55513.0,Manual,first,Petrol,13
Maruti Suzuki,Ignis,8000.0,Automatic,second,Petrol,4
Honda,Jazz,37000.0,Automatic,first,hybrid,5
Maruti Suzuki,Baleno,66000.0,Automatic,second,hybrid,8
Toyota,Fortuner,70000.0,Automatic,first,Diesel,12
Tata,Safari,45000.0,Manual,first,Diesel,5
BMW,X7,32000.0,Automatic,first,Diesel,4
Tata,Nexon,56000.0,Manual,second,hybrid,6
Hyundai,Santro,78000.0,Manual,first,Hybrid/CNG,14
Maruti Suzuki,Ciaz,52380.0,Manual,second,Petrol,7
Maruti Suzuki,Swift,100000.0,Manual,second,Diesel,12
Mahindra,Scorpio Classic,79000.0,Manual,second,Diesel,7
Hyundai,Creta,78000.0,Manual,second,Diesel,10
Tata,Tiago,61000.0,Manual,first,Petrol,8
Chevrolet,Spark,89566.0,Manual,first,Petrol,17
Honda,Accord,120000.0,Automatic,second,Petrol,23
Toyota,2.8 Legender 4X2,19000.0,Automatic,first,Diesel,3
Maruti Suzuki,Alto-800,52000.0,Automatic,second,Petrol,7
Maruti Suzuki,Celerio,62000.0,Automatic,first,hybrid,9
Kia,Carens,20000.0,Automatic,first,Diesel,3
Land Rover,Discovery Sport,20000.0,Automatic,second,Diesel,8
Hyundai,Verna,65000.0,Automatic,second,hybrid,13
Honda,City,62500.0,Automatic,second,Hybrid/CNG,10
Maruti Suzuki,Wagon-R,,Automatic,second,hybrid,13
Toyota,Fortuner,18500.0,Automatic,first,Diesel,3
Land Rover,Discovery Sport,53500.0,Automatic,second,Diesel,6
Datsun,GO Plus,120000.0,Automatic,first,hybrid,11
Hyundai,Creta,82500.0,Automatic,first,Diesel,9
Maruti Suzuki,Ritz,86000.0,Manual,second,Hybrid/CNG,12
Maruti Suzuki,Swift,55000.0,Manual,first,Petrol,9
Honda,Amaze,124000.0,Manual,first,Diesel,8
Audi,A4,53000.0,Automatic,second,Diesel,11
Honda,City,65973.0,Manual,second,Petrol,14
Maruti Suzuki,Swift,59000.0,Manual,first,Petrol,7
Mercedes-Benz,S-Class,65666.0,Automatic,second,Diesel,12
Toyota,Innova Crysta,75000.0,Automatic,first,Diesel,6
Chevrolet,Cruze,65000.0,Automatic,second,Diesel,11
Honda,Civic,122000.0,Automatic,second,hybrid,17
Maruti Suzuki,Gypsy,10000.0,Automatic,second,Diesel,21
Maruti Suzuki,Ertiga,105000.0,Manual,second,hybrid,9
Honda,City,69.0,Automatic,second,Hybrid/CNG,16
Volkswagen,VentoTest,107000.0,Automatic,second,Petrol,11
Maruti Suzuki,Baleno,29000.0,Manual,first,Petrol,8
Maruti Suzuki,Baleno,65000.0,Automatic,second,Petrol,7
Honda,City ZX,59000.0,Automatic,second,Petrol,9
Hyundai,Eon,90000.0,Automatic,second,hybrid,9
BMW,5 Series,70000.0,Automatic,second,Diesel,12
BMW,7 Series,20000.0,Automatic,first,Diesel,11
Ford,Ecosport,54000.0,Manual,first,Diesel,7
Ford,Endeavour,89560.0,Automatic,second,Diesel,9
Ford,Ecosport,41256.0,Automatic,first,Hybrid/CNG,7
Tata,Safari,51000.0,Automatic,second,Diesel,5
Kia,Seltos,30000.0,Automatic,first,Diesel,4
Maruti Suzuki,Ertiga,95000.0,Automatic,first,hybrid,6
Volkswagen,Ameo,85400.0,Automatic,first,Diesel,8
Mercedes-Benz,GLS,25000.0,Automatic,first,Diesel,3
Honda,CRV,14000.0,Automatic,second,Petrol,6
Hyundai,Fluidic Verna,80000.0,Manual,second,Petrol,12
Tata,Tigor,,Automatic,first,hybrid,7
Tata,Tiago,29000.0,Manual,first,Petrol,9
Mahindra,XUV500,88500.0,Manual,first,Diesel,12
Maruti Suzuki,Swift-Dzire,243000.0,Manual,second,hybrid,8
Chevrolet,Cruze,35000.0,Automatic,second,Diesel,12
Kia,Seltos,58000.0,Automatic,second,Petrol,6
Maruti Suzuki,Baleno,74000.0,Automatic,second,Hybrid/CNG,10
Tata,Hexa,89000.0,Automatic,second,Diesel,9
Nissan,Magnite,17000.0,Automatic,first,Petrol,5
Mahindra,XUV500,45000.0,Automatic,first,Diesel,9
Maruti Suzuki,Grand Vitara,25000.0,Automatic,first,hybrid,3
Maruti Suzuki,Celerio,42000.0,Manual,first,Petrol,12
Maruti Suzuki,Ignis,31000.0,Manual,first,Petrol,7
BMW,X1,57000.0,Automatic,second,Diesel,9
Skoda,Rapid,110000.0,Automatic,second,Diesel,11
Hyundai,i20,47000.0,Manual,first,Hybrid/CNG,7
Toyota,2.8 Legender 4X2,93000.0,Automatic,first,Diesel,5
Hyundai,New i20,82000.0,Manual,second,hybrid,13
Tata,Zest,80000.0,Manual,first,Petrol,11
Maruti Suzuki,Sx4,76370.0,Manual,second,Petrol,16
Maruti Suzuki,Swift-Dzire-Tour,12000.0,Automatic,first,hybrid,2
Ford,Ecosport,30000.0,Automatic,second,Petrol,9
Mercedes-Benz,GLE,101000.0,Automatic,first,Diesel,10
Toyota,Camry,97000.0,Automatic,second,Petrol,11
Hyundai,Verna,63000.0,Manual,second,Hybrid/CNG,9
Maruti Suzuki,Baleno,49000.0,Manual,first,Petrol,9
Tata,Punch ,40000.0,Manual,first,Hybrid/CNG,2
Honda,City Hybrid eHEV,9000.0,Automatic,first,Hybrid/CNG,4
Tata,Zest,72000.0,Manual,second,Diesel,10
Maruti Suzuki,Alto,50000.0,Manual,first,Petrol,6
Audi,A4,72000.0,Automatic,second,Diesel,12
Hyundai,i10,750985.0,Manual,second,hybrid,15
Maruti Suzuki,Baleno,55000.0,Automatic,first,Petrol,10
Maruti Suzuki,Alto K10,60000.0,Manual,second,Petrol,7
Hyundai,Verna,68580.0,Automatic,second,Petrol,7
Hyundai,Creta,180000.0,Manual,second,Diesel,9
Maruti Suzuki,Ciaz,55000.0,Automatic,second,Hybrid/CNG,8
Maruti Suzuki,Swift,23000.0,Manual,first,Petrol,4
Hyundai,Santro Xing,95000.0,Manual,second,hybrid,16
Volvo,XC 90,40000.0,Automatic,first,Diesel,7
